product_name,product_category,product_size,region,country,city,venue,year,year_month,month,product_price,qty_sold_monthly,monthly_sales,avg_product_sales_by_month_of_the_year
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2020,2020-03,3,6.99,15,104.85,113.01
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2020,2020-04,4,6.99,4,27.96,133.09
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2020,2020-05,5,6.99,21,146.79,133.37
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2020,2020-06,6,6.99,9,62.91,111.56
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2020,2020-07,7,6.99,29,202.71,123.58
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2020,2020-08,8,6.99,23,160.77,115.75
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2020,2020-09,9,6.99,19,132.81,112.68
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2020,2020-10,10,6.99,13,90.87,105.41
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2020,2020-11,11,6.99,20,139.8,125.82
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2020,2020-12,12,6.99,19,132.81,121.35
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-01,1,6.99,17,118.83,132.53
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-02,2,6.99,21,146.79,110.72
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-03,3,6.99,14,97.86,113.01
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-04,4,6.99,32,223.68,133.09
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-05,5,6.99,25,174.75,133.37
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-06,6,6.99,17,118.83,111.56
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-07,7,6.99,10,69.9,123.58
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-08,8,6.99,14,97.86,115.75
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-09,9,6.99,23,160.77,112.68
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-10,10,6.99,17,118.83,105.41
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-11,11,6.99,15,104.85,125.82
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2021,2021-12,12,6.99,13,90.87,121.35
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-01,1,6.99,25,174.75,132.53
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-02,2,6.99,17,118.83,110.72
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-03,3,6.99,9,62.91,113.01
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-04,4,6.99,19,132.81,133.09
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-05,5,6.99,15,104.85,133.37
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-06,6,6.99,10,69.9,111.56
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-07,7,6.99,12,83.88,123.58
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-08,8,6.99,10,69.9,115.75
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-09,9,6.99,15,104.85,112.68
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-10,10,6.99,17,118.83,105.41
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-11,11,6.99,23,160.77,125.82
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2022,2022-12,12,6.99,13,90.87,121.35
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-01,1,6.99,20,139.8,132.53
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-02,2,6.99,20,139.8,110.72
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-03,3,6.99,4,27.96,113.01
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-04,4,6.99,17,118.83,133.09
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-05,5,6.99,12,83.88,133.37
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-06,6,6.99,13,90.87,111.56
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-07,7,6.99,9,62.91,123.58
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-08,8,6.99,21,146.79,115.75
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-09,9,6.99,12,83.88,112.68
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-10,10,6.99,10,69.9,105.41
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-11,11,6.99,15,104.85,125.82
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2023,2023-12,12,6.99,5,34.95,121.35
butter croissant,food,one size,LATAM,Argentina,Buenos Aires,Buenos Aires,2024,2024-01,1,6.99,34,237.66,132.53
